production_ID,sample_name,abbr
GV3RNA25012100001,D_G609G_M9_Heart,D_G_Heart
GV3RNA25012100002,D_G609G_M9_Heart,D_G_Heart
GV3RNA25012100003,D_G609G_M10_Heart,D_G_Heart
GV3RNA25012100004,D_G609G_M10_Heart,D_G_Heart
GV3RNA25012100005,D_G609G_M32_Heart,D_G_Heart
GV3RNA25012100006,D_G609G_M32_Heart,D_G_Heart
GV3RNA25012100007,L_G609G_M7_Heart,L_G_Heart
GV3RNA25012100008,L_G609G_M7_Heart,L_G_Heart
GV3RNA25012100009,L_G609G_M9_Heart,L_G_Heart
GV3RNA25012100010,L_G609G_M9_Heart,L_G_Heart
GV3RNA25012100011,L_G609G_M17_Heart,L_G_Heart
GV3RNA25012100012,L_G609G_M17_Heart,L_G_Heart
GV3RNA25012100013,D_WT_M29_Heart,D_W_Heart
GV3RNA25012100014,D_WT_M29_Heart,D_W_Heart
GV3RNA25012100015,D_WT_M30_Heart,D_W_Heart
GV3RNA25012100016,D_WT_M30_Heart,D_W_Heart
GV3RNA25012100017,D_WT_M31_Heart,D_W_Heart
GV3RNA25012100018,D_WT_M31_Heart,D_W_Heart
GV3RNA25012100019,L_WT_M1_Heart,L_W_Heart
GV3RNA25012100020,L_WT_M1_Heart,L_W_Heart
GV3RNA25012100021,L_WT_M2_Heart,L_W_Heart
GV3RNA25012100022,L_WT_M2_Heart,L_W_Heart
GV3RNA25012100023,L_WT_M3_Heart,L_W_Heart
GV3RNA25012100024,L_WT_M3_Heart,L_W_Heart
GV3RNA25012100025,D_G609G_M9_Penis,D_G_Penis
GV3RNA25012100026,D_G609G_M9_Penis,D_G_Penis
GV3RNA25012100027,D_G609G_M10_Penis,D_G_Penis
GV3RNA25012100028,D_G609G_M10_Penis,D_G_Penis
GV3RNA25012100029,D_G609G_M32_Penis,D_G_Penis
GV3RNA25012100030,D_G609G_M32_Penis,D_G_Penis
GV3RNA25012100031,L_G609G_M7_Penis,L_G_Penis
GV3RNA25012100032,L_G609G_M7_Penis,L_G_Penis
GV3RNA25012100033,L_G609G_M9_Penis,L_G_Penis
GV3RNA25012100034,L_G609G_M9_Penis,L_G_Penis
GV3RNA25012100035,L_G609G_M17_Penis,L_G_Penis
GV3RNA25012100036,L_G609G_M17_Penis,L_G_Penis
GV3RNA25012100037,D_WT_M29_Penis,D_W_Penis
GV3RNA25012100038,D_WT_M29_Penis,D_W_Penis
GV3RNA25012100039,D_WT_M30_Penis,D_W_Penis
GV3RNA25012100040,D_WT_M30_Penis,D_W_Penis
GV3RNA25012100041,D_WT_M31_Penis,D_W_Penis
GV3RNA25012100042,D_WT_M31_Penis,D_W_Penis
GV3RNA25012100043,L_WT_M1_Penis,L_W_Penis
GV3RNA25012100044,L_WT_M1_Penis,L_W_Penis
GV3RNA25012100045,L_WT_M2_Penis,L_W_Penis
GV3RNA25012100046,L_WT_M2_Penis,L_W_Penis
GV3RNA25012100047,L_WT_M3_Penis,L_W_Penis
GV3RNA25012100048,L_WT_M3_Penis,L_W_Penis
GV3RNA25012100049,D_G609G_M9_Sem,D_G_Sem
GV3RNA25012100050,D_G609G_M9_Sem,D_G_Sem
GV3RNA25012100051,D_G609G_M10_Sem,D_G_Sem
GV3RNA25012100052,D_G609G_M10_Sem,D_G_Sem
GV3RNA25012100053,D_G609G_M32_Sem,D_G_Sem
GV3RNA25012100054,D_G609G_M32_Sem,D_G_Sem
GV3RNA25012100055,L_G609G_M7_Sem,L_G_Sem
GV3RNA25012100056,L_G609G_M7_Sem,L_G_Sem
GV3RNA25012100057,L_G609G_M9_Sem,L_G_Sem
GV3RNA25012100058,L_G609G_M9_Sem,L_G_Sem
GV3RNA25012100059,L_G609G_M17_Sem,L_G_Sem
GV3RNA25012100060,L_G609G_M17_Sem,L_G_Sem
GV3RNA25012100061,D_WT_M29_Sem,D_W_Sem
GV3RNA25012100062,D_WT_M29_Sem,D_W_Sem
GV3RNA25012100063,D_WT_M30_Sem,D_W_Sem
GV3RNA25012100064,D_WT_M30_Sem,D_W_Sem
GV3RNA25012100065,D_WT_M31_Sem,D_W_Sem
GV3RNA25012100066,D_WT_M31_Sem,D_W_Sem
GV3RNA25012100067,L_WT_M1_Sem,L_W_Sem
GV3RNA25012100068,L_WT_M1_Sem,L_W_Sem
GV3RNA25012100069,L_WT_M2_Sem,L_W_Sem
GV3RNA25012100070,L_WT_M2_Sem,L_W_Sem
GV3RNA25012100071,L_WT_M3_Sem,L_W_Sem
GV3RNA25012100072,L_WT_M3_Sem,L_W_Sem
